Ano,Região,UF,Código Municipio,Nome Municipio,Dependência administrativa,Escolaridade do docente,"Número de docentes
Censo Escolar2",% de docentes localizados3 na RAIS,1º quartil,Mediana,Média6,3º quartil,Desvio padrão,Carga horária média semanal7,Remuneração média padronizada para 40h semanais8 em R$
2017,Norte,RO,1100015,Alta Floresta D'Oeste,Municipal,Com Superior,156,95.5,"1,418.99","2,193.45","2,065.58","2,595.01",666.83,32.3,"2,559.20"
2017,Norte,RO,1100015,Alta Floresta D'Oeste,Municipal,Sem Superior,19,100.0,"2,157.94","2,245.07","2,129.66","2,485.05",541.41,37.5,"2,272.13"
2017,Norte,RO,1100023,Ariquemes,Municipal,Com Superior,411,98.5,"2,785.35","3,479.47","3,546.37","4,019.90","1,117.59",39.9,"3,555.30"
2017,Norte,RO,1100023,Ariquemes,Municipal,Sem Superior,58,94.8,"2,686.24","3,259.29","3,274.84","3,864.26","1,084.52",39.9,"3,286.13"
2017,Norte,RO,1100031,Cabixi,Municipal,Com Superior,44,84.1,"2,123.29","3,057.70","2,832.18","3,405.79",782.98,37.3,"3,041.12"
2017,Norte,RO,1100031,Cabixi,Municipal,Sem Superior,2,a,a,a,a,a,a,a,a
2017,Norte,RO,1100049,Cacoal,Municipal,Com Superior,201,98.0,"2,899.86","3,213.66","3,496.81","4,016.49",942.47,37.2,"3,761.65"
2017,Norte,RO,1100049,Cacoal,Municipal,Sem Superior,54,96.3,"2,931.62","3,135.73","3,560.42","4,228.78",910.74,38.5,"3,694.53"
2017,Norte,RO,1100056,Cerejeiras,Municipal,Com Superior,86,88.4,"2,942.04","3,087.84","3,342.38","3,802.82",593.34,39.7,"3,364.94"
2017,Norte,RO,1100056,Cerejeiras,Municipal,Sem Superior,4,100.0,"2,840.68","2,911.14","3,029.40","3,218.13",284.13,40.0,"3,029.40"
2017,Norte,RO,1100064,Colorado do Oeste,Municipal,Com Superior,136,53.7,d,d,d,d,d,d,d
2017,Norte,RO,1100064,Colorado do Oeste,Municipal,Sem Superior,5,80.0,"2,706.28","2,986.01","3,216.52","3,726.77",614.14,44.0,"2,924.11"
2017,Norte,RO,1100072,Corumbiara,Municipal,Com Superior,41,87.8,"2,683.27","2,945.30","3,043.54","3,429.26",491.52,44.0,"2,766.85"
2017,Norte,RO,1100072,Corumbiara,Municipal,Sem Superior,7,100.0,"2,728.40","2,899.37","3,095.03","3,321.60",395.23,44.0,"2,813.67"
2017,Norte,RO,1100080,Costa Marques,Municipal,Com Superior,73,82.2,"2,906.84","3,096.68","3,014.77","3,390.32",512.71,37.4,"3,220.32"
2017,Norte,RO,1100080,Costa Marques,Municipal,Sem Superior,40,100.0,"2,963.19","3,061.07","2,995.39","3,191.59",482.30,38.5,"3,112.09"
2017,Norte,RO,1100098,Espigão D'Oeste,Municipal,Com Superior,115,100.0,"2,340.11","2,682.56","3,062.86","3,655.28","1,007.01",28.7,"4,261.45"
2017,Norte,RO,1100098,Espigão D'Oeste,Municipal,Sem Superior,4,100.0,"1,910.96","2,355.67","2,654.02","3,186.27",579.14,25.0,"4,246.43"
2017,Norte,RO,1100106,Guajará-Mirim,Municipal,Com Superior,148,89.2,"2,458.71","3,638.81","3,320.86","3,994.79","1,022.12",42.0,"3,165.10"
2017,Norte,RO,1100106,Guajará-Mirim,Municipal,Sem Superior,25,92.0,"1,635.86","2,923.38","2,810.17","3,719.74","1,131.30",39.9,"2,818.84"
2017,Norte,RO,1100114,Jaru,Municipal,Com Superior,244,93.0,"1,594.34","1,893.85","1,953.29","1,958.12",930.52,23.1,"3,376.60"
2017,Norte,RO,1100114,Jaru,Municipal,Sem Superior,31,96.8,"1,116.34","1,268.48","1,461.86","1,692.87",659.04,25.2,"2,317.38"
2017,Norte,RO,1100122,Ji-Paraná,Municipal,Com Superior,325,98.8,"2,128.18","2,789.42","2,931.83","3,589.38",908.11,32.3,"3,629.22"
2017,Norte,RO,1100122,Ji-Paraná,Municipal,Sem Superior,17,100.0,"2,023.57","2,472.17","2,324.11","2,774.69",626.33,34.8,"2,669.20"
2017,Norte,RO,1100130,Machadinho D'Oeste,Municipal,Com Superior,199,98.0,"1,624.09","1,837.21","2,109.81","2,528.40",704.71,29.7,"2,844.84"
2017,Norte,RO,1100130,Machadinho D'Oeste,Municipal,Sem Superior,30,100.0,"1,321.76","2,117.38","2,030.76","2,436.28",756.01,29.4,"2,761.02"
2017,Norte,RO,1100148,Nova Brasilândia D'Oeste,Municipal,Com Superior,104,93.3,"1,559.64","1,957.99","2,281.53","3,043.11",770.61,30.9,"2,952.46"
2017,Norte,RO,1100148,Nova Brasilândia D'Oeste,Municipal,Sem Superior,10,100.0,"1,844.82","1,983.89","2,408.41","2,939.93",626.02,31.0,"3,109.65"
2017,Norte,RO,1100155,Ouro Preto do Oeste,Municipal,Com Superior,161,89.4,"2,370.00","2,708.66","2,806.14","3,268.84",559.38,30.2,"3,721.10"
2017,Norte,RO,1100155,Ouro Preto do Oeste,Municipal,Sem Superior,6,100.0,"1,843.76","2,540.75","2,440.38","2,867.54",488.90,30.0,"3,253.84"
2017,Norte,RO,1100189,Pimenta Bueno,Municipal,Com Superior,156,88.5,"2,043.19","2,322.28","2,479.90","2,827.91",682.10,28.5,"3,481.26"
2017,Norte,RO,1100189,Pimenta Bueno,Municipal,Sem Superior,34,94.1,"1,850.56","2,117.48","2,309.80","2,583.27",726.95,29.6,"3,123.11"
2017,Norte,RO,1100205,Porto Velho,Municipal,Com Superior,"1,739",96.3,"2,021.96","2,270.28","2,531.03","2,879.55",733.71,27.8,"3,635.65"
2017,Norte,RO,1100205,Porto Velho,Municipal,Sem Superior,137,95.6,"1,883.73","2,147.86","2,483.22","3,030.60",749.06,29.8,"3,329.78"
2017,Norte,RO,1100254,Presidente Médici,Municipal,Com Superior,116,84.5,"1,849.58","2,171.53","2,231.45","2,298.79",603.99,30.4,"2,939.52"
2017,Norte,RO,1100254,Presidente Médici,Municipal,Sem Superior,17,94.1,"1,714.60","2,271.60","2,170.77","2,283.96",740.76,36.1,"2,403.91"
2017,Norte,RO,1100262,Rio Crespo,Municipal,Com Superior,29,100.0,"1,660.01","1,838.77","2,033.15","2,083.09",645.93,23.8,"3,410.02"
2017,Norte,RO,1100262,Rio Crespo,Municipal,Sem Superior,2,a,a,a,a,a,a,a,a
2017,Norte,RO,1100288,Rolim de Moura,Municipal,Com Superior,293,92.2,"1,886.40","2,769.39","2,828.90","3,710.88","1,164.91",33.4,"3,390.48"
2017,Norte,RO,1100288,Rolim de Moura,Municipal,Sem Superior,11,63.6,"1,479.96","1,925.52","1,864.50","2,137.18",500.15,30.0,"2,486.01"
2017,Norte,RO,1100296,Santa Luzia D'Oeste,Municipal,Com Superior,50,90.0,"1,785.02","2,870.81","2,681.86","3,084.37","1,358.52",40.0,"2,681.86"
2017,Norte,RO,1100296,Santa Luzia D'Oeste,Municipal,Sem Superior,2,a,a,a,a,a,a,a,a
2017,Norte,RO,1100304,Vilhena,Municipal,Com Superior,437,91.5,"2,181.86","2,991.25","2,969.83","3,564.73",946.54,34.8,"3,412.41"
2017,Norte,RO,1100304,Vilhena,Municipal,Sem Superior,13,92.3,"2,476.20","2,867.30","3,047.85","3,695.47",700.18,36.7,"3,324.93"
2017,Norte,RO,1100320,São Miguel do Guaporé,Municipal,Com Superior,131,100.0,"2,455.60","3,200.24","3,065.49","3,518.44",628.03,34.9,"3,508.76"
2017,Norte,RO,1100320,São Miguel do Guaporé,Municipal,Sem Superior,3,a,a,a,a,a,a,a,a
2017,Norte,RO,1100338,Nova Mamoré,Municipal,Com Superior,157,96.8,"1,389.80","1,789.62","1,957.49","2,485.19",633.36,27.7,"2,830.62"
2017,Norte,RO,1100338,Nova Mamoré,Municipal,Sem Superior,33,100.0,"1,266.94","1,345.18","1,689.63","1,913.00",616.64,27.8,"2,427.01"
2017,Norte,RO,1100346,Alvorada D'Oeste,Municipal,Com Superior,109,85.3,"1,433.50","1,722.66","2,011.91","2,545.91",567.39,31.0,"2,592.33"
2017,Norte,RO,1100346,Alvorada D'Oeste,Municipal,Sem Superior,13,100.0,937.00,"1,433.50","1,389.47","1,682.91",356.98,28.2,"1,967.89"
2017,Norte,RO,1100379,Alto Alegre dos Parecis,Municipal,Com Superior,91,98.9,"1,644.65","2,058.40","2,156.74","2,607.28",593.61,29.1,"2,961.94"
2017,Norte,RO,1100379,Alto Alegre dos Parecis,Municipal,Sem Superior,1,a,a,a,a,a,a,a,a
